#ID U-ID KIER PLEC TRYB RODZAJ
0,6288,10,f,3,4
1,8416,11,f,2,4
2,2957,21,m,2,3
3,3090,21,f,2,3
4,231,22,m,2,3
5,9427,13,f,2,2
6,9942,7,m,2,3
7,6802,33,f,3,2
8,8579,11,f,2,4
9,8598,11,f,2,4
10,16729,23,m,1,1
11,8472,11,f,3,4
12,10976,21,f,3,3
13,2870,21,f,2,3
14,12032,10,f,3,4
15,16999,13,m,2,2
16,570,7,f,2,3
17,8485,11,f,2,4
18,8728,11,f,3,4
19,20861,9,f,2,2
20,19771,34,f,2,2
21,17964,10,f,2,2
22,14663,23,f,1,1
23,16489,11,f,2,2
24,1094,7,f,2,3
25,8169,11,f,3,2
26,19,24,f,1,1
27,6244,10,f,3,4
28,4092,9,f,2,2
29,4351,3,f,2,3
30,20526,26,f,1,1
31,3223,21,f,2,3
32,19964,10,f,2,2
33,4911,13,f,2,4
34,13007,10,f,2,2
35,8571,11,f,2,2
36,7336,10,f,2,2
37,14897,23,f,1,1
38,20534,22,m,2,3
39,17227,7,f,2,3
40,20635,26,m,1,1
41,2122,21,f,3,3
42,19083,1,f,1,1
43,6830,10,f,3,2
44,15162,26,f,1,1
45,10146,7,f,2,3
46,20794,11,f,2,2
47,9907,7,f,2,3
48,12077,10,f,3,4
49,9411,32,f,2,5
50,16768,23,m,1,1
51,2229,21,f,2,3
52,4324,3,f,2,3
53,6012,9,m,2,2
54,10169,7,f,2,3
55,8044,11,f,3,4
56,143,22,f,2,3
57,21075,26,m,1,1
58,14223,21,m,2,3
59,18690,3,f,2,3
60,4531,3,f,2,3
61,457,32,f,2,5
62,21390,46,m,6,6
63,20367,32,m,2,5
64,20368,32,f,2,5
65,21163,10,f,2,2
66,2217,21,f,2,3
67,20859,9,f,2,2
68,3443,21,f,2,3
69,8626,11,f,2,2
70,5851,9,f,2,2
71,12116,10,f,3,4
72,6809,10,f,3,2
73,4439,3,m,2,3
74,21429,48,f,6,6
75,21352,51,f,6,6
76,8559,11,f,2,2
77,19114,22,f,2,3
78,5911,9,m,2,2
79,6439,10,f,3,4
80,8748,11,f,3,4
81,20550,14,f,3,4
82,314,7,f,2,3
83,111,22,m,2,3
84,15564,3,f,2,3
85,14738,23,f,1,1
86,2443,21,f,2,3
87,312,7,f,2,3
88,10119,7,f,2,3
89,19309,7,f,3,3
90,6816,10,f,3,2
91,8382,11,f,2,4
92,5113,13,f,2,2
93,8861,12,m,3,2
94,12783,10,f,2,2
95,20729,9,f,2,2
96,6840,10,f,3,2
97,14139,14,f,3,4
98,9007,12,m,2,2
99,6294,10,f,3,4
100,12404,19,f,3,2
101,21391,46,f,6,6
102,7023,10,f,3,2
